"Country" "Lat" "Long" "X4.6.20" "X4.7.20" "X4.8.20" "SL.AGR.EMPL.MA.ZS" "SP.RUR.TOTL.ZS" "SH.TBS.INCD" "SM.POP.NETM" "SP.URB.TOTL.IN.ZS" "EN.ATM.CO2E.PC" "EG.ELC.ACCS.ZS" "EN.URB.MCTY.TL.ZS" "SP.POP.TOTL" "NY.GDP.MKTP.KD.ZG" "NE.IMP.GNFS.ZS" "SL.UEM.TOTL.ZS" "EN.ATM.PM25.MC.ZS" "BX.KLT.DINV.CD.WD" "BN.CAB.XOKA.CD" "FI.RES.TOTL.CD" "SP.DYN.LE00.FE.IN" "SP.DYN.LE00.MA.IN" "SH.SGR.CRSK.ZS" "SP.POP.65UP.TO.ZS" "SH.STA.DIAB.ZS" "SH.DTH.NCOM.ZS" "SP.DYN.IMRT.IN" "IS.AIR.DPRT" "ST.INT.XPND.MP.ZS" "ST.INT.RCPT.XP.ZS" "SP.DYN.LE00.FE.IN.1" "SL.GDP.PCAP.EM.KD" "LP.LPI.OVRL.XQ" "EN.URB.LCTY.UR.ZS" "EN.POP.DNST" "SH.STA.TRAF.P5"
"41" "Costa Rica" 9.7489 -83.7534 467 483 502 17.0790004730225 20.66 10 21000 79.34 1.61808784926208 99.6 27.1579362572736 4999441 2.63398496797504 33.2420840335805 8.19099998474121 99.6887933668832 2763898445.34094 -1866153307.76786 7500924411.18614 82.557 77.354 8.2 9.54984767296984 9.1 83.3 7.6 39730 5.90941790624206 19.3973474852318 82.557 37608.67578125 2.79 34.2298205294467 97.9130630630631 16.7
"42" "Cote d'Ivoire" 7.54 -5.5471 323 349 384 53.1180000305176 49.221 142 -40000 50.779 0.487688034135766 65.6357574462891 19.6287488538239 25069229 7.43307162464457 29.2470562631073 2.4449999332428 100 912856300.8215 -4346689112.563 31282991842.276 58.32 55.864 55.5459925303455 2.85894301500285 2.4 37.2 59.4 15188 5.60451054793926 8.13260046317814 58.32 12113.244140625 3.08 38.6552483035222 78.8340534591195 23.6
"43" "Croatia" 45.1 15.2 1222 1282 1343 8.43400001525879 43.053 8.4 -40004 56.947 3.97380490559031 100 21.1822516872008 4089400 2.63078562253854 51.3615432817724 7.76900005340576 99.7796052732656 1284360877.94773 1459036223.54372 19991304927.8836 80.9 74.9 3.7 20.445433012423 5.4 92.4 4 27189 5.64641393224952 38.5868735951335 80.9 58758.2578125 3.1 29.4396105103464 73.0771979985704 8.1
"44" "Cuba" 22 -80 350 396 457 24.4270000457764 22.963 7.2 -72000 77.037 3.08099424581552 100 18.843199826991 11338138 2.24848039303581 12.5931035861752 2.25200009346008 99.9999999999811 4721826395.37792 -32383511780.8527 165303315825.296 80.643 76.699 8.80491054526842 15.1862114171521 9.6 83.7 3.7 8733.666 8.75403849949682 9.119050810775 80.643 54697.3049609406 2.2 24.4599356510304 108.999596231494 8.5
"45" "Cyprus" 35.1264 33.4299 465 494 526 3.6949999332428 33.19 5.4 25000 66.81 5.26046160455096 100 20.0149663503963 1189265 4.06019176189083 72.2795717929557 7.91699981689453 100 5206751664.27152 -1067068304.01677 924201541.467494 82.794 78.547 10.4 13.7190617734483 9 91.1 1.9 5456 8.61809977457805 18.9232403187276 82.794 51596.453125 3.15 26.5906348510316 128.708333333333 5.1
"46" "Czechia" 49.8175 15.473 4822 5017 5312 3.55999994277954 26.208 5.4 110057 73.792 9.16597837581982 100 12.1549884501673 10625695 2.95778447296561 72.0030708959607 2.47399997711182 99.6772126159304 8493644233.84427 860048615.269931 142511752519.564 82.6 76.5 0.3 19.4208768932343 7 89.9 2.7 50694 3.44022042992777 4.31227059186259 82.6 70237.859375 3.68 16.4719593241246 137.602887852888 5.9
"47" "Denmark" 189.8634 -40.0143 4875 5266 5597 3.23600006103516 12.126 5.4 75998 87.874 5.9357124821143 100 22.7828943986714 5797446 2.39132968541817 49.5945167161173 4.83099985122681 56.9144561104444 1166205135.1967 24780873569.4533 70942078373.7473 82.9 79.2 0.1 19.8129526369902 8.3 89.7 3.6 625007.5487356 5.9414777290166 4.59775437271808 82.9 98470.953125 3.99 25.9267736170828 138.067301738509 4
"48" "Djibouti" 11.8251 42.5903 90 90 135 47.3919982910156 22.223 260 4501 77.777 0.803830216224396 60.2 28.6627242987898 958920 5.46019075866732 178.881328667234 11.0299997329712 100 2.65e+08 -2707648211.57073 454193909.718601 68.023 64 51.0304369747899 4.52757937811482 5.1 44.4 49.8 81784.5627327009 3.98865254197455 8.63233998486819 68.023 9836.248046875 2.63 75.2949442156877 41.3684210526316 25.9732340992341
"49" "Dominica" 15.415 -61.371 15 15 15 25.3647056911089 29.517 6.4 -4115.65296845075 70.483 1.90868678342829 100 19.3707687503266 71625 2.26457023430542 65.095817562071 4.91108721912041 100 13286694.9945287 -225095301.374874 191323608.30539 69.2220595885093 66.4457920354194 21.3354930555556 6.24651855009513 11.6 63.5759099234099 32.9 92618.2710093695 6.95363495546831 68.538006850991 68.3462741944657 42977.409212141 2.69131459776893 37.189044774854 95.5 10.9
"50" "Dominican Republic" 18.7357 -70.1627 1828 1956 2111 14.6280002593994 18.926 45 -150000 81.074 2.11899466984248 100 29.8494659676405 10627165 6.98252758438241 28.504535080793 5.82800006866455 99.9134426224712 2744500000 -1159600000 7717561574.1843 76.99 70.609 16.1 7.08281747649721 8.6 72.3 24.1 129013.137529524 4.05381363470776 37.4460793296255 76.99 36326.68359375 2.66 36.8175557007141 219.97857586421 34.6
"51" "Ecuador" -1.8312 -78.1834 3747 3747 4450 29.2800006866455 36.179 44 182000 63.821 2.75326636341217 100 27.6345957884163 17084357 1.37712702988119 23.0467920375474 3.98099994659424 98.3156239365569 1410435145.23622 -1488129213.64077 2158694032.4143 79.442 73.833 24.4 7.15728972666108 5.5 72.2 12.2 53033 4.0684950486967 7.61486108501925 79.442 22303.599609375 2.88 26.5861487148008 68.7886817522951 21.3
"52" "Egypt" 26 30 1322 1450 1560 21.6429996490479 57.296 12 -190164 42.704 2.23273200470305 100 25.5652539413948 98423595 5.31412103746398 29.3662955784919 11.2930002212524 100 6797600000 -6293166088.33333 41839242990.7097 73.967 69.453 30.3 5.22977934620923 17.2 84.1 18.1 104473 3.79545671908511 24.6108510877487 73.967 39313.47265625 2.82 47.7649634748908 98.8734692852479 9.7
