"Country" "CCode" "INome" "Indicador" "Ano"
"242" "Tunisia" "TUN" "Air transport, registered carrier departures worldwide" 41446 "X2018"
"243" "Turkey" "TUR" "Air transport, registered carrier departures worldwide" 772925.545 "X2018"
"244" "Tuvalu" "TUV" "Air transport, registered carrier departures worldwide" NA "X2018"
"245" "Tanzania" "TZA" "Air transport, registered carrier departures worldwide" 51577 "X2018"
"246" "Uganda" "UGA" "Air transport, registered carrier departures worldwide" 4832 "X2018"
"247" "Ukraine" "UKR" "Air transport, registered carrier departures worldwide" 66712 "X2018"
"248" "Upper middle income" "UMC" "Air transport, registered carrier departures worldwide" 10646864.4842514 "X2018"
"249" "Uruguay" "URY" "Air transport, registered carrier departures worldwide" NA "X2018"
"250" "United States" "USA" "Air transport, registered carrier departures worldwide" 9879630 "X2018"
"251" "Uzbekistan" "UZB" "Air transport, registered carrier departures worldwide" 21514 "X2018"
"252" "St. Vincent and the Grenadines" "VCT" "Air transport, registered carrier departures worldwide" NA "X2018"
"253" "Venezuela, RB" "VEN" "Air transport, registered carrier departures worldwide" 24986 "X2018"
"254" "British Virgin Islands" "VGB" "Air transport, registered carrier departures worldwide" NA "X2018"
"255" "Virgin Islands (U.S.)" "VIR" "Air transport, registered carrier departures worldwide" NA "X2018"
"256" "Vietnam" "VNM" "Air transport, registered carrier departures worldwide" 283787 "X2018"
"257" "Vanuatu" "VUT" "Air transport, registered carrier departures worldwide" 11723 "X2018"
"258" "World" "WLD" "Air transport, registered carrier departures worldwide" 36999575.182538 "X2018"
"259" "Samoa" "WSM" "Air transport, registered carrier departures worldwide" 6848 "X2018"
"260" "Kosovo" "XKX" "Air transport, registered carrier departures worldwide" NA "X2018"
"261" "Yemen, Rep." "YEM" "Air transport, registered carrier departures worldwide" 2342 "X2018"
"262" "South Africa" "ZAF" "Air transport, registered carrier departures worldwide" 180317.18600139 "X2018"
"263" "Zambia" "ZMB" "Air transport, registered carrier departures worldwide" 734 "X2018"
"264" "Zimbabwe" "ZWE" "Air transport, registered carrier departures worldwide" 3444 "X2018"
