"Country" "CCode" "INome" "Indicador" "Ano"
"210" "El Salvador" "SLV" "Literacy rate, adult total (% of people ages 15 and above)" 89.0086 "X2018"
"211" "San Marino" "SMR" "Literacy rate, adult total (% of people ages 15 and above)" 99.91643 "X2018"
"212" "Somalia" "SOM" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"213" "Serbia" "SRB" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"214" "Sub-Saharan Africa (excluding high income)" "SSA" "Literacy rate, adult total (% of people ages 15 and above)" 65.57343 "X2018"
"215" "South Sudan" "SSD" "Literacy rate, adult total (% of people ages 15 and above)" 34.52276 "X2018"
"216" "Sub-Saharan Africa" "SSF" "Literacy rate, adult total (% of people ages 15 and above)" 65.57706 "X2018"
"217" "Small states" "SST" "Literacy rate, adult total (% of people ages 15 and above)" 86.20175 "X2018"
"218" "Sao Tome and Principe" "STP" "Literacy rate, adult total (% of people ages 15 and above)" 92.81664 "X2018"
"219" "Suriname" "SUR" "Literacy rate, adult total (% of people ages 15 and above)" 94.38327 "X2018"
"220" "Slovak Republic" "SVK" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"221" "Slovenia" "SVN" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"222" "Sweden" "SWE" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"223" "Eswatini" "SWZ" "Literacy rate, adult total (% of people ages 15 and above)" 88.41938 "X2018"
"224" "Sint Maarten (Dutch part)" "SXM" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"225" "Seychelles" "SYC" "Literacy rate, adult total (% of people ages 15 and above)" 95.86771 "X2018"
"226" "Syrian Arab Republic" "SYR" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"227" "Turks and Caicos Islands" "TCA" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"228" "Chad" "TCD" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"229" "East Asia & Pacific (IDA & IBRD countries)" "TEA" "Literacy rate, adult total (% of people ages 15 and above)" 95.81489 "X2018"
"230" "Europe & Central Asia (IDA & IBRD countries)" "TEC" "Literacy rate, adult total (% of people ages 15 and above)" 98.98185 "X2018"
"231" "Togo" "TGO" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"232" "Thailand" "THA" "Literacy rate, adult total (% of people ages 15 and above)" 93.76776 "X2018"
"233" "Tajikistan" "TJK" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"234" "Turkmenistan" "TKM" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"235" "Latin America & the Caribbean (IDA & IBRD countries)" "TLA" "Literacy rate, adult total (% of people ages 15 and above)" 93.75496 "X2018"
"236" "Timor-Leste" "TLS" "Literacy rate, adult total (% of people ages 15 and above)" 68.06683 "X2018"
"237" "Middle East & North Africa (IDA & IBRD countries)" "TMN" "Literacy rate, adult total (% of people ages 15 and above)" 75.72189 "X2018"
"238" "Tonga" "TON" "Literacy rate, adult total (% of people ages 15 and above)" 99.41437 "X2018"
"239" "South Asia (IDA & IBRD)" "TSA" "Literacy rate, adult total (% of people ages 15 and above)" 72.25239 "X2018"
"240" "Sub-Saharan Africa (IDA & IBRD countries)" "TSS" "Literacy rate, adult total (% of people ages 15 and above)" 65.57706 "X2018"
"241" "Trinidad and Tobago" "TTO" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"242" "Tunisia" "TUN" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"243" "Turkey" "TUR" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"244" "Tuvalu" "TUV" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"245" "Tanzania" "TZA" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"246" "Uganda" "UGA" "Literacy rate, adult total (% of people ages 15 and above)" 76.5275 "X2018"
"247" "Ukraine" "UKR" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"248" "Upper middle income" "UMC" "Literacy rate, adult total (% of people ages 15 and above)" 95.18383 "X2018"
"249" "Uruguay" "URY" "Literacy rate, adult total (% of people ages 15 and above)" 98.70386 "X2018"
"250" "United States" "USA" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"251" "Uzbekistan" "UZB" "Literacy rate, adult total (% of people ages 15 and above)" 99.99289 "X2018"
"252" "St. Vincent and the Grenadines" "VCT" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"253" "Venezuela, RB" "VEN" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"254" "British Virgin Islands" "VGB" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"255" "Virgin Islands (U.S.)" "VIR" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"256" "Vietnam" "VNM" "Literacy rate, adult total (% of people ages 15 and above)" 95.00038 "X2018"
"257" "Vanuatu" "VUT" "Literacy rate, adult total (% of people ages 15 and above)" 87.50631 "X2018"
"258" "World" "WLD" "Literacy rate, adult total (% of people ages 15 and above)" 86.30101 "X2018"
"259" "Samoa" "WSM" "Literacy rate, adult total (% of people ages 15 and above)" 99.09577 "X2018"
"260" "Kosovo" "XKX" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"261" "Yemen, Rep." "YEM" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"262" "South Africa" "ZAF" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"263" "Zambia" "ZMB" "Literacy rate, adult total (% of people ages 15 and above)" 86.74796 "X2018"
"264" "Zimbabwe" "ZWE" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
