"Country" "CCode" "INome" "Indicador" "Ano"
"238" "Tonga" "TON" "Life expectancy at birth, male (years)" 68.788 "X2017"
"239" "South Asia (IDA & IBRD)" "TSA" "Life expectancy at birth, male (years)" 67.9493897249746 "X2017"
"240" "Sub-Saharan Africa (IDA & IBRD countries)" "TSS" "Life expectancy at birth, male (years)" 59.1427144394588 "X2017"
"241" "Trinidad and Tobago" "TTO" "Life expectancy at birth, male (years)" 70.616 "X2017"
"242" "Tunisia" "TUN" "Life expectancy at birth, male (years)" 74.297 "X2017"
"243" "Turkey" "TUR" "Life expectancy at birth, male (years)" 74.149 "X2017"
"244" "Tuvalu" "TUV" "Life expectancy at birth, male (years)" NA "X2017"
"245" "Tanzania" "TZA" "Life expectancy at birth, male (years)" 62.581 "X2017"
"246" "Uganda" "UGA" "Life expectancy at birth, male (years)" 60.27 "X2017"
"247" "Ukraine" "UKR" "Life expectancy at birth, male (years)" 67.02 "X2017"
"248" "Upper middle income" "UMC" "Life expectancy at birth, male (years)" 72.9423381947181 "X2017"
"249" "Uruguay" "URY" "Life expectancy at birth, male (years)" 73.805 "X2017"
"250" "United States" "USA" "Life expectancy at birth, male (years)" 76.1 "X2017"
"251" "Uzbekistan" "UZB" "Life expectancy at birth, male (years)" 69.25 "X2017"
"252" "St. Vincent and the Grenadines" "VCT" "Life expectancy at birth, male (years)" 70.075 "X2017"
"253" "Venezuela, RB" "VEN" "Life expectancy at birth, male (years)" 68.523 "X2017"
"254" "British Virgin Islands" "VGB" "Life expectancy at birth, male (years)" NA "X2017"
"255" "Virgin Islands (U.S.)" "VIR" "Life expectancy at birth, male (years)" 76.2 "X2017"
"256" "Vietnam" "VNM" "Life expectancy at birth, male (years)" 71.124 "X2017"
"257" "Vanuatu" "VUT" "Life expectancy at birth, male (years)" 68.699 "X2017"
"258" "World" "WLD" "Life expectancy at birth, male (years)" 70.2127584963075 "X2017"
"259" "Samoa" "WSM" "Life expectancy at birth, male (years)" 71.055 "X2017"
"260" "Kosovo" "XKX" "Life expectancy at birth, male (years)" 69.8 "X2017"
"261" "Yemen, Rep." "YEM" "Life expectancy at birth, male (years)" 64.413 "X2017"
"262" "South Africa" "ZAF" "Life expectancy at birth, male (years)" 60.162 "X2017"
"263" "Zambia" "ZMB" "Life expectancy at birth, male (years)" 60.158 "X2017"
"264" "Zimbabwe" "ZWE" "Life expectancy at birth, male (years)" 59.105 "X2017"
