"Country" "CCode" "INome" "Indicador" "Ano"
"221" "Slovenia" "SVN" "Total reserves (includes gold, current US$)" 933092542.007261 "X2018"
"222" "Sweden" "SWE" "Total reserves (includes gold, current US$)" 60566144400.5195 "X2018"
"223" "Eswatini" "SWZ" "Total reserves (includes gold, current US$)" 440685903.013845 "X2018"
"224" "Sint Maarten (Dutch part)" "SXM" "Total reserves (includes gold, current US$)" NA "X2018"
"225" "Seychelles" "SYC" "Total reserves (includes gold, current US$)" 549521831.728019 "X2018"
"226" "Syrian Arab Republic" "SYR" "Total reserves (includes gold, current US$)" NA "X2018"
"227" "Turks and Caicos Islands" "TCA" "Total reserves (includes gold, current US$)" NA "X2018"
"228" "Chad" "TCD" "Total reserves (includes gold, current US$)" 147750165.909777 "X2018"
"229" "East Asia & Pacific (IDA & IBRD countries)" "TEA" "Total reserves (includes gold, current US$)" NA "X2018"
"230" "Europe & Central Asia (IDA & IBRD countries)" "TEC" "Total reserves (includes gold, current US$)" NA "X2018"
"231" "Togo" "TGO" "Total reserves (includes gold, current US$)" NA "X2018"
"232" "Thailand" "THA" "Total reserves (includes gold, current US$)" 205640628937.522 "X2018"
"233" "Tajikistan" "TJK" "Total reserves (includes gold, current US$)" 1284070863.38126 "X2018"
"234" "Turkmenistan" "TKM" "Total reserves (includes gold, current US$)" NA "X2018"
"235" "Latin America & the Caribbean (IDA & IBRD countries)" "TLA" "Total reserves (includes gold, current US$)" NA "X2018"
"236" "Timor-Leste" "TLS" "Total reserves (includes gold, current US$)" 673903564.681158 "X2018"
"237" "Middle East & North Africa (IDA & IBRD countries)" "TMN" "Total reserves (includes gold, current US$)" NA "X2018"
"238" "Tonga" "TON" "Total reserves (includes gold, current US$)" 227189184.003045 "X2018"
"239" "South Asia (IDA & IBRD)" "TSA" "Total reserves (includes gold, current US$)" NA "X2018"
"240" "Sub-Saharan Africa (IDA & IBRD countries)" "TSS" "Total reserves (includes gold, current US$)" NA "X2018"
"241" "Trinidad and Tobago" "TTO" "Total reserves (includes gold, current US$)" 8108517577.38663 "X2018"
"242" "Tunisia" "TUN" "Total reserves (includes gold, current US$)" 5661370258.89029 "X2018"
"243" "Turkey" "TUR" "Total reserves (includes gold, current US$)" 92982552060.703 "X2018"
"244" "Tuvalu" "TUV" "Total reserves (includes gold, current US$)" NA "X2018"
"245" "Tanzania" "TZA" "Total reserves (includes gold, current US$)" 5049646420.4773 "X2018"
"246" "Uganda" "UGA" "Total reserves (includes gold, current US$)" 3358514649.90299 "X2018"
"247" "Ukraine" "UKR" "Total reserves (includes gold, current US$)" 20817897004.1028 "X2018"
"248" "Upper middle income" "UMC" "Total reserves (includes gold, current US$)" NA "X2018"
"249" "Uruguay" "URY" "Total reserves (includes gold, current US$)" 15556520867.2273 "X2018"
"250" "United States" "USA" "Total reserves (includes gold, current US$)" 449907088828.546 "X2018"
"251" "Uzbekistan" "UZB" "Total reserves (includes gold, current US$)" 27077105981.1617 "X2018"
"252" "St. Vincent and the Grenadines" "VCT" "Total reserves (includes gold, current US$)" 169562298.93521 "X2018"
"253" "Venezuela, RB" "VEN" "Total reserves (includes gold, current US$)" NA "X2018"
"254" "British Virgin Islands" "VGB" "Total reserves (includes gold, current US$)" NA "X2018"
"255" "Virgin Islands (U.S.)" "VIR" "Total reserves (includes gold, current US$)" NA "X2018"
"256" "Vietnam" "VNM" "Total reserves (includes gold, current US$)" 55452622582.5609 "X2018"
"257" "Vanuatu" "VUT" "Total reserves (includes gold, current US$)" 420592370.174891 "X2018"
"258" "World" "WLD" "Total reserves (includes gold, current US$)" NA "X2018"
"259" "Samoa" "WSM" "Total reserves (includes gold, current US$)" 169944547.604381 "X2018"
"260" "Kosovo" "XKX" "Total reserves (includes gold, current US$)" 881167306.173398 "X2018"
"261" "Yemen, Rep." "YEM" "Total reserves (includes gold, current US$)" NA "X2018"
"262" "South Africa" "ZAF" "Total reserves (includes gold, current US$)" 51642041966.6735 "X2018"
"263" "Zambia" "ZMB" "Total reserves (includes gold, current US$)" 1569229906.13102 "X2018"
"264" "Zimbabwe" "ZWE" "Total reserves (includes gold, current US$)" 86951094.0294849 "X2018"
