"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Guinea-Bissau","GNB","Net migration","SM.POP.NETM","","","-20001","","","","","-7230","","","","","-14999","","","","","-79367","","","","","-30001","","","","","-28004","","","","","-29999","","","","","-41167","","","","","-27932","","","","","-17502","","","","","-7005","","","","","-6996","","",
"Equatorial Guinea","GNQ","Net migration","SM.POP.NETM","","","2998","","","","","5001","","","","","-70000","","","","","-29998","","","","","64999","","","","","20000","","","","","20002","","","","","35001","","","","","50003","","","","","80001","","","","","89999","","","","","79998","","",
"Greece","GRC","Net migration","SM.POP.NETM","","","-256691","","","","","-187126","","","","","20771","","","","","297368","","","","","100241","","","","","178887","","","","","459178","","","","","297431","","","","","113586","","","","","-370769","","","","","-161799","","","","","-80000","","",
"Grenada","GRD","Net migration","SM.POP.NETM","","","-9450","","","","","-9731","","","","","-11759","","","","","-13206","","","","","-586","","","","","-15189","","","","","-4210","","","","","-3964","","","","","-3511","","","","","-3526","","","","","-1000","","","","","-1000","","",
"Greenland","GRL","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Net migration","SM.POP.NETM","","","-10311","","","","","-41269","","","","","-137529","","","","","-258519","","","","","-283074","","","","","-299909","","","","","-367469","","","","","-402326","","","","","-281050","","","","","-114231","","","","","-50131","","","","","-46073","","",
"Guam","GUM","Net migration","SM.POP.NETM","","","-2905","","","","","-1442","","","","","-2131","","","","","-1511","","","","","109","","","","","99","","","","","1739","","","","","-4116","","","","","-9556","","","","","-9776","","","","","-7594","","","","","-2532","","",
"Guyana","GUY","Net migration","SM.POP.NETM","","","-14669","","","","","-42559","","","","","-54362","","","","","-52341","","","","","-97340","","","","","-102648","","","","","-57867","","","","","-86647","","","","","-63249","","","","","-50078","","","","","-34999","","","","","-30001","","",
"High income","HIC","Net migration","SM.POP.NETM","","","3973878","","","","","4261121","","","","","7273975","","","","","7380846","","","","","6732487","","","","","8485576","","","","","10814893","","","","","14026591","","","","","18666748","","","","","23392352","","","","","18304118","","","","","16214522","","",
"Hong Kong SAR, China","HKG","Net migration","SM.POP.NETM","","","-27385","","","","","71590","","","","","73970","","","","","390487","","","","","160605","","","","","221262","","","","","156486","","","","","375683","","","","","64797","","","","","89747","","","","","74892","","","","","146542","","",
"Honduras","HND","Net migration","SM.POP.NETM","","","-29002","","","","","-41000","","","","","-45999","","","","","-50999","","","","","-61998","","","","","-73998","","","","","-77999","","","","","-64998","","","","","-41999","","","","","-25000","","","","","-30000","","","","","-34000","","",
"Heavily indebted poor countries (HIPC)","HPC","Net migration","SM.POP.NETM","","","-243146","","","","","-137303","","","","","-1026521","","","","","-2923589","","","","","-5279936","","","","","-2910055","","","","","2469854","","","","","-3368158","","","","","-1747428","","","","","-4868903","","","","","-2882169","","","","","-1462971","","",
"Croatia","HRV","Net migration","SM.POP.NETM","","","1854","","","","","-1225","","","","","-18403","","","","","18681","","","","","54369","","","","","26145","","","","","-143579","","","","","-188129","","","","","-2580","","","","","-10499","","","","","-38493","","","","","-40004","","",
"Haiti","HTI","Net migration","SM.POP.NETM","","","-51997","","","","","-58003","","","","","-88000","","","","","-97999","","","","","-124999","","","","","-135001","","","","","-140001","","","","","-144998","","","","","-139999","","","","","-138004","","","","","-150000","","","","","-175000","","",
"Hungary","HUN","Net migration","SM.POP.NETM","","","21715","","","","","15731","","","","","-24419","","","","","13040","","","","","-115800","","","","","-91554","","","","","99980","","","","","78562","","","","","61589","","","","","25150","","","","","29999","","","","","29999","","",
"IBRD only","IBD","Net migration","SM.POP.NETM","","","-3673663","","","","","-3714283","","","","","-2713394","","","","","-4247592","","","","","-944230","","","","","-4170239","","","","","-9465052","","","","","-8412537","","","","","-10785295","","","","","-11536107","","","","","-2167109","","","","","-6044978","","",
"IDA & IBRD total","IBT","Net migration","SM.POP.NETM","","","-3963584","","","","","-4173652","","","","","-7497326","","","","","-7486372","","","","","-6728516","","","","","-8916507","","","","","-11085383","","","","","-14297599","","","","","-18637281","","","","","-23109254","","","","","-18168999","","","","","-15664439","","",
"IDA total","IDA","Net migration","SM.POP.NETM","","","-289921","","","","","-459369","","","","","-4783932","","","","","-3238780","","","","","-5784286","","","","","-4746268","","","","","-1620331","","","","","-5885062","","","","","-7851986","","","","","-11573147","","","","","-16001890","","","","","-9619461","","",
"IDA blend","IDB","Net migration","SM.POP.NETM","","","108506","","","","","176993","","","","","-202484","","","","","1236280","","","","","565940","","","","","-436989","","","","","-1843712","","","","","-794542","","","","","-1955104","","","","","-1542469","","","","","-2321857","","","","","-2271334","","",
"Indonesia","IDN","Net migration","SM.POP.NETM","","","449965","","","","","556062","","","","","508276","","","","","378743","","","","","475080","","","","","261282","","","","","-35412","","","","","-67671","","","","","-1149655","","","","","-1333685","","","","","-454447","","","","","-494777","","",
"IDA only","IDX","Net migration","SM.POP.NETM","","","-398427","","","","","-636362","","","","","-4581448","","","","","-4475060","","","","","-6350226","","","","","-4309279","","","","","223381","","","","","-5090520","","","","","-5896882","","","","","-10030678","","","","","-13680033","","","","","-7348127","","",
"Isle of Man","IMN","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Net migration","SM.POP.NETM","","","-85391","","","","","-342846","","","","","2106041","","","","","1111236","","","","","579708","","","","","45150","","","","","-552948","","","","","-682569","","","","","-1888986","","","","","-2655844","","","","","-2350075","","","","","-2663434","","",
"Not classified","INX","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
